c,p,utils_with,utils_without,utility_alternative
0.5,0.00975326831154459,1.97821852185401,1.9830031251368647,1.5
0.5612244897959183,0.011166592222718515,1.976514608894703,1.980551983196644,1.5
0.6224489795918368,0.011219925200498663,1.9764503267189126,1.9804595459402559,1.5
0.6836734693877551,0.020639862400917326,1.965115227318075,1.9641997437383412,1.5
0.7448979591836735,0.021246525023166513,1.9643865018353361,1.9631571423286285,1.5
0.8061224489795918,0.02417983880107466,1.9608651746176333,1.958123780551454,1.5
0.8673469387755102,0.029459803601309325,1.9545358924483434,1.9490962537188794,1.5
0.9285714285714286,0.0387397417350551,1.9434400736944202,1.9333310276559277,1.5
0.9897959183673469,0.0451130325797828,1.935840619577257,1.9225785822667885,1.5
1.0510204081632653,0.05355297631349124,1.9258031621278027,1.9084332324054154,1.5
1.1122448979591837,0.06133959106939287,1.9165692293468723,1.8954776247029828,1.5
1.1734693877551021,0.08258611609255938,1.8915030975079663,1.8605896467664613,1.5
1.2346938775510203,0.1013859907600616,1.8694815661960293,1.8302838555116916,1.5
1.2959183673469388,0.11528589809401271,1.8532951393491066,1.808217807059985,1.5
1.3571428571428572,0.12743915040566398,1.8392091827909312,1.7891620395821761,1.5
1.4183673469387754,0.1588189412070586,1.8031260069175465,1.7409844449522458,1.5
1.4795918367346939,0.17667882214118572,1.7827738605097367,1.7142236158978226,1.5
1.5408163265306123,0.21255858294278038,1.7422921563875908,1.6619083432371164,1.5
1.6020408163265305,0.22251184992100054,1.7311580815001952,1.6477379051546985,1.5
1.663265306122449,0.2820247865014233,1.6654529841755241,1.566110108773389,1.5
1.7244897959183674,0.3112645915693895,1.6337158298536592,1.5279511992272126,1.5
1.7857142857142856,0.3331711121925854,1.610173582146897,1.500202796162709,1.5
1.846938775510204,0.39628402477316815,1.543474945965455,1.4242837278647715,1.5
1.9081632653061225,0.4005639962400251,1.5390123827171631,1.4193516428927901,1.5
1.9693877551020407,0.46204358637609083,1.475758958384299,1.3515369306253011,1.5
2.0306122448979593,0.48444343704375303,1.4531073843529596,1.3282380679445058,1.5
2.0918367346938775,0.5148699008673275,1.4226765330625515,1.2977959345965258,1.5
2.1530612244897958,0.5587229418470544,1.3795012187717717,1.256363346077325,1.5
2.2142857142857144,0.6325491163392244,1.3086404299916605,1.1931278348425074,1.5
2.2755102040816326,0.6420757194952034,1.2996632376195134,1.1855634130573565,1.5
2.336734693877551,0.6772688182078787,1.2668302709129733,1.158799357223735,1.5
2.3979591836734695,0.7319017873214179,1.2168916848607843,1.1209320419007331,1.5
2.4591836734693877,0.768134879100806,1.1844633467111787,1.0982873559419968,1.5
2.520408163265306,0.7972013519909867,1.15884766317032,1.081545130727966,1.5
2.5816326530612246,0.8345877694148706,1.1264215154279535,1.0618739621666435,1.5
2.642857142857143,0.8813341244391704,1.0867031755978052,1.040227661407171,1.5
2.704081632653061,0.8758474943500376,1.0913173868418948,1.0425985099068635,1.5
2.7653061224489797,0.9180205465296898,1.056175100707716,1.0255353364610456,1.5
2.826530612244898,0.9351137659082273,1.0421442718411689,1.0193792260539023,1.5
2.887755102040816,0.9406803954640303,1.0376014388346997,1.0174690127457202,1.5
2.9489795918367347,0.9689135405763961,1.014761240216141,1.0084963908255224,1.5
3.010204081632653,0.9608469276871487,1.0212528493721749,1.0109379903818643,1.5
3.071428571428571,0.9759601602655982,1.009112835308013,1.006443395354442,1.5
3.13265306122449,0.9829267804881301,1.0035490573275223,1.004486925996343,1.5
3.193877551020408,0.9883600775994826,0.9992239911330417,1.003011596445247,1.5
3.2551020408163263,0.9899000673328845,0.998000368621396,1.002601489646689,1.5
3.316326530612245,0.9936667088886074,0.9950117231990233,1.0016134057100743,1.5
3.377551020408163,0.9976266824887834,0.991876103687423,1.0005975538548109,1.5
3.4387755102040813,0.9947000353330978,0.9941928709082016,1.0013460583858285,1.5
3.5,0.9951533656442291,0.9938337740126205,1.0012292759873767,1.5
